year,campus_id,campus_as_printed,period_start,period_end,source_pdf,organism,group,n_isolates,drug,percent_susceptible,flag,note,not_at12
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,ampicillin,44,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,amox_clav,79,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,amp_sulbact,49,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,cefazolin,66,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,ceftazidime,89,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,cefepime,90,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,ceftriaxone,89,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,pip_tazo,96,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,aztreonam,92,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,meropenem,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,ciprofloxacin,70,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,levofloxacin,71,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,gentamicin,90,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,tobramycin,89,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,amikacin,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,trimeth_sulfa,69,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,ertapenem,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Escherichia coli,gram_negative,1255,nitrofurantoin,98,,urinary_isolates_only,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,ampicillin,0,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,amox_clav,98,,,True
